length,insertionSort,mergeSort,quickSort,heapSort
750100,307190,78,428,27675
751100,308528,80,430,27941
752100,308854,81,420,28480
753100,309843,84,422,28146
754100,310249,78,428,28203
755100,311839,81,420,28276
756100,421364,97,601,403477
757100,422205,145,619,52473
758100,422932,152,583,51054
759100,480191,52494,1150,424692
760100,432917,23687,795,425881
761100,426676,96,596,449721
762100,426948,102,619,51611
763100,427146,94,570,398794
764100,430071,95,610,225509
765100,404708,15373,567,431451
766100,408069,2540,541,432467
767100,403541,33132,754,433134
768100,393551,8477,572,434312
769100,435620,96,614,53182
770100,436830,93,619,52400
771100,420881,436037,93,587
772100,436542,95,565,414643
773100,438563,96,568,409376
774100,440728,95,584,411057
775100,440098,95,581,53331
776100,467144,45730,1163,442869
777100,438590,44586,755,444052
778100,420315,445056,93,620
779100,446539,95,639,443994
780100,447576,100,641,55135
781100,449104,104,648,53602
782100,450227,138,640,56004
783100,449891,102,611,54396
784100,430051,49306,591,452490
785100,454558,104,638,424041
786100,452029,96,576,424531
787100,455310,95,600,56035
788100,418911,6664,543,457547
789100,458082,132,640,56779
790100,460539,163,625,57216
791100,422672,463343,99,593
792100,462057,101,603,499486
793100,461698,100,602,459100
794100,462755,99,608,56301
795100,493658,66757,708,73807
796100,450946,22591,781,57355
797100,497750,11619,563,467761
798100,488053,4557,550,469490
799100,470085,97,640,56750
800000,487753,168,669,56898
801000,556322,131,664,57320
802000,553906,98,654,56932
803000,473132,104,677,57408
804000,475322,158,660,58370
805000,475891,129,727,57476
806000,477408,98,667,58663
807000,477893,104,663,58129
808000,478982,105,679,57755
809000,482664,167,659,58067
810000,483862,107,691,58114
811000,483516,132,666,57854
812000,485242,101,683,58016
813000,485394,155,679,58886
814000,487238,158,693,58793
815000,488923,174,709,59069
816000,488487,101,700,59811
817000,491443,102,699,59561
818000,491055,158,708,61029
819000,493974,162,684,60140
820000,495289,106,704,59543
821000,494535,161,699,60801
822000,496650,105,693,60026
823000,497576,177,713,59875
824000,500227,102,719,60568
825000,499514,103,699,60530
826000,503188,104,692,60587
827000,503546,101,723,62389
828000,503626,117,710,60881
829000,503987,184,748,60470
830000,506257,118,723,61453
831000,506060,161,715,61733
832000,510997,165,723,63746
833000,512868,105,730,62507
834000,511285,159,724,62595
835000,512241,105,718,62439
836000,513649,104,727,61581
837000,515744,151,734,64534
838000,516768,129,712,61710
839000,521095,194,737,63903
840000,519661,105,747,62799
841000,519198,106,734,62373
842000,521213,110,714,63259
843000,522623,106,747,64781
844000,524076,104,752,64178
845000,528385,104,719,65208
846000,524916,135,722,63402
847000,526822,157,740,64283
